test_position,source_row_index,true_crop,agreement_count,consensus_crop,models_agreeing_with_random_forest,rf_top_probability,rf_top_1_minus_top_2_margin,logistic_regression_prediction,decision_tree_prediction,knn_prediction,svm_prediction,gaussian_nb_prediction,random_forest_prediction
117,871,lentil,6,lentil,6,0.990000000000,0.980000000000,lentil,lentil,lentil,lentil,lentil,lentil
118,1047,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
119,1644,orange,6,orange,6,0.990000000000,0.980000000000,orange,orange,orange,orange,orange,orange
120,1612,orange,6,orange,6,1.000000000000,1.000000000000,orange,orange,orange,orange,orange,orange
121,250,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
122,199,maize,6,maize,6,0.940000000000,0.920000000000,maize,maize,maize,maize,maize,maize
123,1191,mango,6,mango,6,0.970000000000,0.940000000000,mango,mango,mango,mango,mango,mango
124,110,maize,6,maize,6,0.970000000000,0.960000000000,maize,maize,maize,maize,maize,maize
125,817,lentil,6,lentil,6,0.850000000000,0.770000000000,lentil,lentil,lentil,lentil,lentil,lentil
126,1004,banana,6,banana,6,0.990000000000,0.980000000000,banana,banana,banana,banana,banana,banana
127,907,pomegranate,6,pomegranate,6,0.980000000000,0.960000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
128,1859,coconut,6,coconut,6,1.000000000000,1.000000000000,coconut,coconut,coconut,coconut,coconut,coconut
129,684,mungbean,6,mungbean,6,0.990000000000,0.980000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
130,1918,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
131,226,chickpea,6,chickpea,6,0.920000000000,0.840000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
132,2098,jute,6,jute,6,0.800000000000,0.600000000000,jute,jute,jute,jute,jute,jute
133,616,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
134,511,mothbeans,6,mothbeans,6,0.790000000000,0.680000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
135,130,maize,6,maize,6,0.880000000000,0.780000000000,maize,maize,maize,maize,maize,maize
136,1552,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
137,263,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
138,7,rice,6,rice,6,0.980000000000,0.960000000000,rice,rice,rice,rice,rice,rice
139,139,maize,6,maize,6,0.800000000000,0.650000000000,maize,maize,maize,maize,maize,maize
140,1944,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
141,2090,jute,6,jute,6,0.930000000000,0.890000000000,jute,jute,jute,jute,jute,jute
142,986,pomegranate,6,pomegranate,6,0.940000000000,0.910000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
143,1109,mango,6,mango,6,1.000000000000,1.000000000000,mango,mango,mango,mango,mango,mango
144,46,rice,6,rice,6,0.880000000000,0.760000000000,rice,rice,rice,rice,rice,rice
145,1745,papaya,6,papaya,6,1.000000000000,1.000000000000,papaya,papaya,papaya,papaya,papaya,papaya
146,1011,banana,6,banana,6,0.990000000000,0.980000000000,banana,banana,banana,banana,banana,banana
147,1681,orange,6,orange,6,0.980000000000,0.960000000000,orange,orange,orange,orange,orange,orange
148,461,pigeonpeas,6,pigeonpeas,6,0.990000000000,0.980000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
149,803,lentil,6,lentil,6,0.990000000000,0.980000000000,lentil,lentil,lentil,lentil,lentil,lentil
150,177,maize,6,maize,6,0.990000000000,0.980000000000,maize,maize,maize,maize,maize,maize
151,258,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
152,1903,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
153,1324,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
154,525,mothbeans,5,mothbeans,5,0.890000000000,0.780000000000,mothbeans,mothbeans,lentil,mothbeans,mothbeans,mothbeans
155,191,maize,6,maize,6,0.970000000000,0.940000000000,maize,maize,maize,maize,maize,maize
156,474,pigeonpeas,6,pigeonpeas,6,0.970000000000,0.960000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
157,1419,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
158,1592,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
159,670,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
160,791,blackgram,6,blackgram,6,0.880000000000,0.810000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
161,218,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
162,128,maize,6,maize,6,1.000000000000,1.000000000000,maize,maize,maize,maize,maize,maize
163,122,maize,6,maize,6,0.990000000000,0.980000000000,maize,maize,maize,maize,maize,maize
164,305,kidneybeans,6,kidneybeans,6,0.990000000000,0.980000000000,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans
165,2145,coffee,6,coffee,6,1.000000000000,1.000000000000,coffee,coffee,coffee,coffee,coffee,coffee
166,1622,orange,6,orange,6,0.990000000000,0.980000000000,orange,orange,orange,orange,orange,orange
167,108,maize,6,maize,6,0.970000000000,0.950000000000,maize,maize,maize,maize,maize,maize
168,1295,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
169,941,pomegranate,6,pomegranate,6,0.990000000000,0.980000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
170,1501,apple,6,apple,6,0.990000000000,0.980000000000,apple,apple,apple,apple,apple,apple
171,1804,coconut,6,coconut,6,0.980000000000,0.970000000000,coconut,coconut,coconut,coconut,coconut,coconut
172,1405,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
173,1276,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
174,1985,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
175,836,lentil,6,lentil,6,0.960000000000,0.920000000000,lentil,lentil,lentil,lentil,lentil,lentil
176,440,pigeonpeas,6,pigeonpeas,6,0.960000000000,0.940000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
177,237,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
178,789,blackgram,4,blackgram,2,0.580000000000,0.320000000000,blackgram,maize,blackgram,blackgram,blackgram,maize
179,552,mothbeans,6,mothbeans,6,0.880000000000,0.800000000000,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans,mothbeans
180,1574,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
181,1461,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
182,1966,cotton,6,cotton,6,0.970000000000,0.940000000000,cotton,cotton,cotton,cotton,cotton,cotton
183,1378,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
184,1445,muskmelon,6,muskmelon,6,0.990000000000,0.980000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
185,1314,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
186,1631,orange,4,orange,4,0.860000000000,0.820000000000,coconut,orange,coconut,orange,orange,orange
187,1346,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
188,2194,coffee,6,coffee,6,0.960000000000,0.930000000000,coffee,coffee,coffee,coffee,coffee,coffee
189,361,kidneybeans,6,kidneybeans,6,1.000000000000,1.000000000000,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans,kidneybeans
190,1521,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
191,207,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
192,718,blackgram,6,blackgram,6,0.970000000000,0.950000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
193,2186,coffee,6,coffee,6,1.000000000000,1.000000000000,coffee,coffee,coffee,coffee,coffee,coffee
194,1402,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
195,2111,coffee,6,coffee,6,0.910000000000,0.850000000000,coffee,coffee,coffee,coffee,coffee,coffee
196,1584,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
197,1262,grapes,6,grapes,6,0.990000000000,0.980000000000,grapes,grapes,grapes,grapes,grapes,grapes
198,2007,jute,6,jute,6,0.980000000000,0.960000000000,jute,jute,jute,jute,jute,jute
199,1717,papaya,6,papaya,6,0.950000000000,0.930000000000,papaya,papaya,papaya,papaya,papaya,papaya
200,1805,coconut,6,coconut,6,1.000000000000,1.000000000000,coconut,coconut,coconut,coconut,coconut,coconut
201,1258,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
202,1345,watermelon,6,watermelon,6,1.000000000000,1.000000000000,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
203,631,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
204,936,pomegranate,6,pomegranate,6,1.000000000000,1.000000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
205,448,pigeonpeas,6,pigeonpeas,6,0.930000000000,0.910000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
206,646,mungbean,6,mungbean,6,0.910000000000,0.860000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
207,838,lentil,4,lentil,4,0.550000000000,0.200000000000,mothbeans,mothbeans,lentil,lentil,lentil,lentil
208,1733,papaya,6,papaya,6,0.770000000000,0.700000000000,papaya,papaya,papaya,papaya,papaya,papaya
209,1403,muskmelon,6,muskmelon,6,1.000000000000,1.000000000000,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon,muskmelon
210,260,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
211,1586,apple,6,apple,6,1.000000000000,1.000000000000,apple,apple,apple,apple,apple,apple
212,120,maize,6,maize,6,0.850000000000,0.770000000000,maize,maize,maize,maize,maize,maize
213,275,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
214,1095,banana,6,banana,6,1.000000000000,1.000000000000,banana,banana,banana,banana,banana,banana
215,940,pomegranate,6,pomegranate,6,0.980000000000,0.970000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
216,913,pomegranate,6,pomegranate,6,0.980000000000,0.960000000000,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate,pomegranate
217,145,maize,6,maize,6,0.980000000000,0.970000000000,maize,maize,maize,maize,maize,maize
218,1611,orange,6,orange,6,0.980000000000,0.970000000000,orange,orange,orange,orange,orange,orange
219,2054,jute,6,jute,6,0.900000000000,0.810000000000,jute,jute,jute,jute,jute,jute
220,1957,cotton,6,cotton,6,0.980000000000,0.970000000000,cotton,cotton,cotton,cotton,cotton,cotton
221,1935,cotton,6,cotton,6,1.000000000000,1.000000000000,cotton,cotton,cotton,cotton,cotton,cotton
222,104,maize,6,maize,6,0.980000000000,0.970000000000,maize,maize,maize,maize,maize,maize
223,1217,grapes,6,grapes,6,0.990000000000,0.980000000000,grapes,grapes,grapes,grapes,grapes,grapes
224,697,mungbean,6,mungbean,6,1.000000000000,1.000000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
225,884,lentil,6,lentil,6,0.950000000000,0.920000000000,lentil,lentil,lentil,lentil,lentil,lentil
226,475,pigeonpeas,6,pigeonpeas,6,0.940000000000,0.890000000000,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas,pigeonpeas
227,1726,papaya,6,papaya,6,0.990000000000,0.980000000000,papaya,papaya,papaya,papaya,papaya,papaya
228,615,mungbean,6,mungbean,6,0.960000000000,0.940000000000,mungbean,mungbean,mungbean,mungbean,mungbean,mungbean
229,1582,apple,6,apple,6,0.990000000000,0.980000000000,apple,apple,apple,apple,apple,apple
230,1027,banana,6,banana,6,0.990000000000,0.980000000000,banana,banana,banana,banana,banana,banana
231,42,rice,3,jute,3,0.650000000000,0.310000000000,jute,rice,rice,jute,jute,rice
232,285,chickpea,6,chickpea,6,1.000000000000,1.000000000000,chickpea,chickpea,chickpea,chickpea,chickpea,chickpea
233,150,maize,6,maize,6,0.980000000000,0.960000000000,maize,maize,maize,maize,maize,maize
234,37,rice,6,rice,6,0.970000000000,0.940000000000,rice,rice,rice,rice,rice,rice
235,1657,orange,6,orange,6,0.970000000000,0.940000000000,orange,orange,orange,orange,orange,orange
236,723,blackgram,6,blackgram,6,0.980000000000,0.970000000000,blackgram,blackgram,blackgram,blackgram,blackgram,blackgram
237,1885,coconut,6,coconut,6,0.910000000000,0.870000000000,coconut,coconut,coconut,coconut,coconut,coconut
238,22,rice,6,rice,6,0.970000000000,0.950000000000,rice,rice,rice,rice,rice,rice
239,1294,grapes,6,grapes,6,1.000000000000,1.000000000000,grapes,grapes,grapes,grapes,grapes,grapes
